date;id;att16;att1;att2;att3;att4;att5;att6;att7;att8;att9;att10;att11;att12;att13;att14;att15
Tue Jan 08 11:08:41 GMT 2013;1;range1 [-? - 0.121];0;0;0;0;0;0;0.204306822;0;0;0;0;0;0;0;0.263322858
Tue Jan 08 11:08:42 GMT 2013;2;range1 [-? - 0.121];0.086445997;0.074294196;0.043466182;0.123921262;0.017610712;0.086447779;0.136488962;0;0;0;0.065320307;0.065500788;0;0;0.11689707
Tue Jan 08 11:08:43 GMT 2013;3;range1 [-? - 0.121];0.087847824;0.079175109;0.044064919;0.125930796;0.022370364;0.087849635;0.130362879;0;0;0;0.067547339;0.067733973;0;0;0.11641693
Tue Jan 08 11:08:44 GMT 2013;4;range1 [-? - 0.121];0.114270803;0.09339625;0.06099955;0.163808419;0.009362056;0.114273158;0.055942895;0.036576624;0;0;0.09186828;0.092122113;0.014982972;0.015629874;0.06537261
Tue Jan 08 11:08:45 GMT 2013;5;range1 [-? - 0.121];0.123120057;0.113733697;0.07492263;0.176493919;0.03416028;0.123122595;0.119831992;0.124138844;0;0;0.115911417;0.116231681;0.003011023;0;0.071222146
Tue Jan 08 11:08:46 GMT 2013;6;range1 [-? - 0.121];0.073872034;0.064110909;0.032590684;0.105896352;0.075245768;0.073873557;0.253581701;0;0;0;0.052855156;0.053001196;0;0;0.115832603
Tue Jan 08 11:08:47 GMT 2013;7;range1 [-? - 0.121];0.118195255;0.100398996;0.06628634;0.169434162;0.010894028;0.118197691;0.080749672;0.063842834;0;0;0.100699916;0.10097815;0.004685009;0;0.087318912
Tue Jan 08 11:08:48 GMT 2013;8;range1 [-? - 0.121];0.103420848;0.084998158;0.055564271;0.148254892;0.040992336;0.10342298;0.135162897;0.04256189;0;0;0.084351954;0.084585018;0.003320986;0;0.085117962
Tue Jan 08 11:08:49 GMT 2013;9;range1 [-? - 0.121];0.1091542;0.09297716;0.064567749;0.147780904;0.03918236;0.097027955;0.041632817;0.104816594;0;0;0.096422503;0.096688919;0.042469639;0.046896843;0.019017293
Tue Jan 08 11:08:50 GMT 2013;10;range1 [-? - 0.121];0.075589988;0.066252954;0.044102852;0.108359057;0.03318314;0.075591547;0.166568738;0.054439626;0;0;0.066696484;0.066880767;0.004598705;0;0.135164642
Tue Jan 08 11:08:51 GMT 2013;11;range1 [-? - 0.121];0.081259238;0.062079429;0.038550304;0.116485987;0.041385173;0.081260913;0.215715317;0;0;0;0.057610481;0.057769659;0;0;0.148761354
Tue Jan 08 11:08:52 GMT 2013;12;range1 [-? - 0.121];0.073872034;0.067717966;0.036211341;0.105896352;0.025081923;0.073873557;0.16780155;0;0;0;0.056113874;0.056268917;0.010111841;0.013821001;0.148093542
