"dateplustime";"realvalue"
1.358842068E9;0.463249921798706
1.358842068E9;0.666470050811768
1.358841981E9;93.0
1.358841981E9;93.0
1.358841981E9;313.0
1.358841981E9;140.0
1.358841981E9;136.0
1.358841978E9;0.414860010147095
1.358841978E9;0.633719921112061
1.358841911E9;78.0
1.358841911E9;267.0
1.358841911E9;90.0
1.358841911E9;77.0
1.358841911E9;106.0
1.358841861E9;354.0
1.358841858E9;0.400880098342896
1.358841858E9;0.619529962539673
1.358841771E9;87.0
1.358841771E9;110.0
1.358841771E9;91.0
1.358841771E9;129.0
1.358841771E9;286.0
1.358841768E9;0.464900016784668
1.358841768E9;0.49606990814209
1.358841703E9;70.0
1.358841703E9;77.0
1.358841703E9;132.0
1.358841703E9;455.0
1.358841703E9;116.0
1.358841649E9;468.0
1.358840053E9;1221.0
1.358836655E9;0.679589986801147
1.358836655E9;0.429480075836182
1.358836569E9;1125.0
1.358836569E9;289.0
1.358836569E9;116.0
1.358836569E9;90.0
1.358836569E9;130.0
1.358836565E9;0.474820137023926
1.358836565E9;0.693670034408569
1.358836506E9;82.0
1.358836506E9;72.0
1.358836506E9;279.0
1.358836506E9;102.0
1.358836506E9;121.0
1.358836459E9;365.0
1.358836457E9;0.262799978256226
1.358836457E9;0.668970108032227
1.35883637E9;1130.0
1.35883637E9;279.0
1.35883637E9;101.0
1.35883637E9;86.0
1.35883637E9;106.0
1.358836367E9;0.545629978179932
1.358836367E9;0.561160087585449
1.358836305E9;96.0
1.358836305E9;414.0
1.358836305E9;266.0
1.358836305E9;79.0
1.358836305E9;104.0
1.358836257E9;360.0
1.358834866E9;0.542929887771606
1.358834866E9;0.558669805526733
1.358834775E9;87.0
1.358834776E9;83.0
1.358834775E9;296.0
1.358834775E9;129.0
1.358834776E9;130.0
1.358834772E9;0.650709867477417
1.358834772E9;0.369359970092773
1.358834706E9;87.0
1.358834706E9;318.0
1.358834706E9;154.0
1.358834706E9;467.0
1.358834706E9;139.0
1.35883465E9;946.0
1.358834646E9;0.540590047836304
1.358834646E9;0.853009939193726
1.358834555E9;77.0
1.358834555E9;95.0
1.358834555E9;126.0
1.358834555E9;342.0
1.358834555E9;125.0
1.358834552E9;0.807739973068237
1.358834552E9;0.323430061340332
1.358834492E9;485.0
1.358834492E9;113.0
1.358834492E9;92.0
1.358834492E9;284.0
1.358834492E9;104.0
1.358834441E9;360.0
1.358832823E9;283.0
1.358832823E9;89.0
1.358832754E9;1234.0
1.358832754E9;206.0
1.358831029E9;1185.0
1.358829547E9;1.35882950335594E9
1.358829452E9;0.462000131607056
1.358829452E9;0.665070056915283
1.358829273E9;98.0
1.358829273E9;66.0
1.358829273E9;106.0
1.358829273E9;686.0
1.358829273E9;108.0
1.358827609E9;1135.0
1.358827609E9;87.0
1.358827805E9;0.533960103988647
1.358827609E9;720.0
1.358827805E9;0.533879995346069
1.358827609E9;107.0
1.358827609E9;109.0
1.358822464E9;0.657079935073853
1.358822464E9;0.547790050506592
1.358822259E9;96.0
1.358822259E9;96.0
1.358822259E9;103.0
1.358822259E9;126.0
1.358822259E9;1079.0
1.358820833E9;0.645319938659668
1.358820833E9;0.363970041275024
1.358820714E9;295.0
1.358820714E9;101.0
1.358820714E9;69.0
1.358820714E9;93.0
1.358820544E9;371.0
1.35882035E9;0.350749969482422
1.35882035E9;0.86627984046936
1.358820228E9;305.0
1.358820228E9;128.0
1.358820162E9;382.0
1.358815394E9;636.0
1.358815394E9;121.0
1.358815007E9;1.35881496338743E9
1.358814922E9;0.687470197677612
1.358814922E9;0.500070095062256
1.358814742E9;79.0
1.358814742E9;1105.0
1.358814742E9;800.0
1.358814742E9;120.0
